,k_means,pso
0,0.5981851806491832,0.5865821807501438
1,0.5982835004126705,0.5862538666415045
2,0.5981851806491832,0.5624517965113098
3,0.6227731305080857,0.5626923656194781
4,0.5981851806491832,0.5793746782683282
5,0.5981851806491832,0.5624828368527347
6,0.6223352831918298,0.5709589905131129
7,0.5981851806491832,0.5969820819703966
8,0.5982835004126705,0.5708588017669515
9,0.5982835004126705,0.5969820839859417
10,0.5981851806491832,0.574346288730025
11,0.6223352831918298,0.592799990571448
12,0.5981851806491832,0.5624437739790924
13,0.5981851806491832,0.5780653627448687
14,0.6223352831918298,0.5969820846498819
15,0.6223949776693666,0.59047195368344
16,0.6223949776693666,0.5624519181923648
17,0.5981851806491832,0.562536087864788
18,0.6227731305080857,0.5969821506561273
19,0.6223352831918298,0.5969821203413006
20,0.6223352831918298,0.5625285791044283
21,0.5982835004126705,0.5709608432135531
22,0.5981851806491832,0.5969820954867215
23,0.6223949776693666,0.5756253695508236
24,0.5981851806491832,0.5624590040778364
25,0.6223352831918298,0.5625002651781212
26,0.6227731305080857,0.5718253584412596
27,0.6227731305080857,0.5973115047888853
28,0.6223352831918298,0.5713483763967769
29,0.6223949776693666,0.596982103273239
